owner,segment_name,size_in_mb,num_rows,date
LYERP,BMS_SU_PLAN_IMP_TMP,4,22868.0,20240821
LYERP,BMS_SU_PLAN_DOC,4,76742.0,20240821
LYERP,BMS_SU_PLAN,30,461842.0,20240821
LYERP,LY_BY_IMP_STQTY_ZX,0,44.0,20240821
LYERP,BMS_SU_GDSRES_LST,112,1150860.0,20240821
LYERP,PM4_PT_GOODS_PRICE,0,669.0,20240821
LYWMS,QRTZ_SIMPLE_TRIGGERS,0,0.0,20240821
LYWMS,TMP_IP,0,1.0,20240821
LYWMS,ZX_TL_PACKS_TMP,0,14.0,20240821
LYWMS,XYUE_TMP_KCLOT,0,896.0,20240821
LYWMS,XYUE_TMP_GOODSID,0,47.0,20240821
LYWMS,ZX_SALES_INVNO_WB_HIS,9,102328.0,20240821
LYWMS,ZX_ERPGOODS,0,10064.0,20240821
LYWMS,WMS_PICKFLOW,0,306.0,20240821
LYWMS,NP_USER_OP,0,3470.0,20240821
LYWMS,NP_ROLE,0,409.0,20240821
LYWMS,NP_QF_NODE,0,0.0,20240821
LYWMS,NP_MAC_REQ,0,119.0,20240821
LYWMS,NP_LOGIN_LOG,189,3435832.0,20240821
LYWMS,IMP_WMS_STQTY_DTL,12,76635.0,20240821
LYWMS,CDCS_UPLOADINOUTWHDA,0,1076.0,20240821
LYWMS,WMS_ECODE_RECORD_GOODSSEQ,22,382822.0,20240821
LYERP,RESA_PROM_W_PRESENT,0,285.0,20240821
LYERP,RESA_PROM_W_GOODS,2,57299.0,20240821
LYERP,GPCS_PLACERETURN,41,802763.0,20240821
LYERP,GPCS_PLACEPOINT,0,430.0,20240821
LYERP,GPCS_INSUPGRADE,0,51.0,20240821
LYERP,GPCS_INSCARDTYPE_RETAILCENTER,0,37.0,20240821
LYERP,GPCS_CANCELPRICE_DOC,1,11331.0,20240821
LYERP,EMF_DEVICE_DEF,0,3.0,20240821
LYERP,TMP_GPCS_INSIDER,2,27005.0,20240821
LYERP,BMS_ST_QTY_LST_20140120,0,6205.0,20240821
LYERP,BMS_ST_IO_DTL_20140120,7,165419.0,20240821
LYERP,ZZ_DDL,0,2544.0,20240821
LYERP,BMS_SU_SET_DTL_BAK,0,7.0,20240821
LYERP,ZZ_KH,0,1764.0,20240821
LYERP,LY_IMP_GOODS_YLF,1,3672.0,20240821
LYERP,ZX_XYUE_GOODSFX_2011,0,100.0,20240821
LYERP,T_101139,3,9160.0,20240821
LYERP,GSP_EMP_OP_APPLY_DOC,1,11254.0,20240821
LYERP,GRESA_PLACEPOINT_BANKPAY,2,14309.0,20240821
LYERP,GPCS_RETURN_NOTICE_POINT,0,10305.0,20240821
LYERP,GPCS_REQ_PLACEDOC,299,13174458.0,20240821
LYWMS,ZX_710031_TMP,0,1631.0,20240821
LYWMS,ZX_GSP_QUALITY_FEEDBACK,2,6079.0,20240821
LYWMS,ZX_ZYC_WAREH_SHR,0,1.0,20240821
LYWMS,ZX_NHND_SCMCODE,1,18.0,20240821
LYWMS,TMS_LUYAN_ROLE,0,3.0,20240821
LYWMS,ZX_LY_GOODS,0,4259.0,20240821
LYWMS,OUT_GEN_INRECEIVE_DOC,0,6056.0,20240821
LYWMS,ZX_WMS_CONSERVE_PERIOD,0,470.0,20240821
LYWMS,ZX_NOAUTO_PRINT,0,6.0,20240821
LYWMS,TMS_LUYAN_SECURITY_LOG,6,42592.0,20240821
LYWMS,TMS_LUYAN_DISPATCH_DOC,13,141606.0,20240821
LYERP,GPCS_ACCEPTRETURNDTL_HIS,0,1111.0,20240821
LYERP,ZZ_GOODS_NOTIN,0,0.0,20240821
LYERP,ZX_GROUPGOODS_DOC,0,1.0,20240821
LYERP,ZZ_BMS_SALE_DTL_BAK,0,2.0,20240821
LYERP,NP_OP_STYLE,0,1605.0,20240821
LYERP,ZX_GOODS_SALE,6630,71303422.0,20240821
LYERP,BMS_SU_IMP_TMP_BAK,1,6979.0,20240821
LYERP,BACK20160229,1,22453.0,20240821
LYERP,ZX_PUB_TAXRATE,4,73219.0,20240821
LYERP,ZX_OP_AP,0,10.0,20240821
LYERP,ZX_MINFQ,0,176.0,20240821
LYERP,ZX_INVOICE_PRINTER,0,280.0,20240821
LYERP,ZX_ENTRY_SUPPLYER,0,21.0,20240821
LYERP,ZX_DTC_ORGMANAGE,0,20.0,20240821
LYERP,ZX_CURRENT_STQTY,4928,81519002.0,20240821
LYERP,ZX_COMPENSATE_POLICY,0,2561.0,20240821
LYERP,TOZW_ACCOUNT_DOC,12,227858.0,20240821
LYERP,TEST_BI_CHART_METER,0,1.0,20240821
LYERP,TEST_BI_CHART_BAR,0,36.0,20240821
LYERP,T350_HIS,62,671813.0,20240821
LYERP,T330_HIS,17,43109.0,20240821
LYERP,T_101175_DTL,0,8.0,20240821
LYERP,BMS_SA_DOC_HIS,2,45795.0,20240821
LYERP,BMS_SASET_IMP_TMP,271,974052.0,20240821
LYWMS,TPRICE_GOODS_TYPE,0,16.0,20240821
LYWMS,TPRICE_CORP_MODEL_DOC,0,4.0,20240821
LYWMS,TPL_ST_QTY_LST,9,124627.0,20240821
LYWMS,ZX_RECEIPT_CHECKDETAIL,17,308929.0,20240821
LYERP,BMS_CREDIT_ADJUST_DOC,0,3477.0,20240821
LYERP,BMS_CREDITDAYS_TMP_2,0,1.0,20240821
LYERP,BMS_CREDITDAYS_TMP_1,0,1410.0,20240821
LYERP,BMS_CREDITDAYS_LEVEL_6,0,8126.0,20240821
LYERP,ZX_ZYC_YWYDYKF,0,0.0,20240821
LYERP,TMP_COSTINGPRICE,0,508.0,20240821
LYERP,BMS_BFS_FLOW,4,22555.0,20240821
LYERP,BMS_CERT_DOC,27,213046.0,20240821
LYERP,BMS_PR_ADJUST_DOC,0,8.0,20240821
LYERP,YLF_SXJG_TABLE,17,219003.0,20240821
LYERP,BMS_PAY_DOC,360,1884102.0,20240821
LYERP,BMS_MV_STATUS_DTL,3,38080.0,20240821
