storageid,placepointname,date,daily_costing
363,厦门鹭燕大药房寨上分店,2023-12-11,373457.960182
363,厦门鹭燕大药房寨上分店,2023-12-12,369378.66841000004
363,厦门鹭燕大药房寨上分店,2023-12-13,389319.71251
363,厦门鹭燕大药房寨上分店,2023-12-14,377798.75491
363,厦门鹭燕大药房寨上分店,2023-12-15,367376.90961
363,厦门鹭燕大药房寨上分店,2023-12-16,364952.29711
363,厦门鹭燕大药房寨上分店,2023-12-17,358982.26915999997
363,厦门鹭燕大药房寨上分店,2023-12-18,352761.05556
363,厦门鹭燕大药房寨上分店,2023-12-19,383746.44686
363,厦门鹭燕大药房寨上分店,2023-12-20,409873.79066
363,厦门鹭燕大药房寨上分店,2023-12-21,406792.54956
363,厦门鹭燕大药房寨上分店,2023-12-22,402699.62141
363,厦门鹭燕大药房寨上分店,2023-12-23,401066.45696
363,厦门鹭燕大药房寨上分店,2023-12-24,398354.29941
363,厦门鹭燕大药房寨上分店,2023-12-25,384479.45376
363,厦门鹭燕大药房寨上分店,2023-12-26,401759.27901
363,厦门鹭燕大药房寨上分店,2023-12-27,399055.79451
363,厦门鹭燕大药房寨上分店,2023-12-28,393031.989238
363,厦门鹭燕大药房寨上分店,2023-12-29,391482.190038
363,厦门鹭燕大药房寨上分店,2023-12-30,388053.42328800005
364,厦门鹭燕大药房殿前分店,2023-01-01,246086.21866
364,厦门鹭燕大药房殿前分店,2023-01-02,242987.344515
364,厦门鹭燕大药房殿前分店,2023-01-03,239921.89847300004
364,厦门鹭燕大药房殿前分店,2023-01-04,236884.82673000003
364,厦门鹭燕大药房殿前分店,2023-01-05,234181.019394
364,厦门鹭燕大药房殿前分店,2023-01-06,231193.36019099999
364,厦门鹭燕大药房殿前分店,2023-01-07,251336.662909
364,厦门鹭燕大药房殿前分店,2023-01-08,249312.70611800003
364,厦门鹭燕大药房殿前分店,2023-01-09,260232.74560999998
364,厦门鹭燕大药房殿前分店,2023-01-10,256293.13493499998
364,厦门鹭燕大药房殿前分店,2023-01-11,252899.764352
364,厦门鹭燕大药房殿前分店,2023-01-12,259467.424302
364,厦门鹭燕大药房殿前分店,2023-01-13,257546.80931899996
364,厦门鹭燕大药房殿前分店,2023-01-14,270944.941488
364,厦门鹭燕大药房殿前分店,2023-01-15,266900.178818
364,厦门鹭燕大药房殿前分店,2023-01-16,275077.62378100003
364,厦门鹭燕大药房殿前分店,2023-01-17,279761.18088899995
364,厦门鹭燕大药房殿前分店,2023-01-18,272499.624239
364,厦门鹭燕大药房殿前分店,2023-01-19,273546.876789
364,厦门鹭燕大药房殿前分店,2023-01-20,271232.42596100003
364,厦门鹭燕大药房殿前分店,2023-01-21,270592.978426
364,厦门鹭燕大药房殿前分店,2023-01-22,270592.978426
364,厦门鹭燕大药房殿前分店,2023-01-23,270067.715176
364,厦门鹭燕大药房殿前分店,2023-01-24,270031.09297600004
364,厦门鹭燕大药房殿前分店,2023-01-25,269621.856976
364,厦门鹭燕大药房殿前分店,2023-01-26,269147.892726
364,厦门鹭燕大药房殿前分店,2023-01-27,267056.519155
364,厦门鹭燕大药房殿前分店,2023-01-28,269156.07518000004
364,厦门鹭燕大药房殿前分店,2023-01-29,267726.502786
364,厦门鹭燕大药房殿前分店,2023-01-30,266526.878596
364,厦门鹭燕大药房殿前分店,2023-01-31,275971.11529600003
364,厦门鹭燕大药房殿前分店,2023-02-01,274060.63084600004
364,厦门鹭燕大药房殿前分店,2023-02-02,271841.509146
364,厦门鹭燕大药房殿前分店,2023-02-03,268449.795196
364,厦门鹭燕大药房殿前分店,2023-02-04,267484.859075
364,厦门鹭燕大药房殿前分店,2023-02-05,265219.29952500004
364,厦门鹭燕大药房殿前分店,2023-02-06,269385.712583
364,厦门鹭燕大药房殿前分店,2023-02-07,266133.707698
364,厦门鹭燕大药房殿前分店,2023-02-08,264392.089276
364,厦门鹭燕大药房殿前分店,2023-02-09,273990.346424
364,厦门鹭燕大药房殿前分店,2023-02-10,272891.805324
364,厦门鹭燕大药房殿前分店,2023-02-11,271904.505074
364,厦门鹭燕大药房殿前分店,2023-02-12,270202.30271099997
364,厦门鹭燕大药房殿前分店,2023-02-13,267749.76370600006
364,厦门鹭燕大药房殿前分店,2023-02-14,274434.051939
364,厦门鹭燕大药房殿前分店,2023-02-15,270817.990863
364,厦门鹭燕大药房殿前分店,2023-02-16,269553.338813
364,厦门鹭燕大药房殿前分店,2023-02-17,268169.274492
364,厦门鹭燕大药房殿前分店,2023-02-18,267858.60362099996
364,厦门鹭燕大药房殿前分店,2023-02-19,266844.246309
364,厦门鹭燕大药房殿前分店,2023-02-20,264921.852164
364,厦门鹭燕大药房殿前分店,2023-02-21,263448.319665
364,厦门鹭燕大药房殿前分店,2023-02-22,277592.924584
364,厦门鹭燕大药房殿前分店,2023-02-23,276356.584891
364,厦门鹭燕大药房殿前分店,2023-02-24,280459.91151
364,厦门鹭燕大药房殿前分店,2023-02-25,279331.97661
364,厦门鹭燕大药房殿前分店,2023-02-26,276984.12221
364,厦门鹭燕大药房殿前分店,2023-02-27,274644.44140999997
364,厦门鹭燕大药房殿前分店,2023-02-28,272796.04596
364,厦门鹭燕大药房殿前分店,2023-03-01,269491.09286000003
